number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
7887,https://github.com/tianocore/edk2/issues/7887,priority:low | package:intelfsp2pkg | type:bug,IntelFsp2Pkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1705),IntelFsp2Pkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and symptom but lacks specific condition or error details.,40,"Description is sparse, lacking concrete symptoms or repro steps.",60,Improvement over original by specifying package and issue type but still vague.,Vague wording | Lacks specific symptom,Package name: IntelFsp2Pkg | Issue context: Coverity scan issues,
7886,https://github.com/tianocore/edk2/issues/7886,priority:low | package:fatpkg | type:bug,FatPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1703),FatPkg: Multiple Coverity scan issues in edk2-stable201903,75,Meets most criteria but lacks specific symptom and condition details.,40,Description lacked specific module name or concrete error details.,60,"Improvement over original by specifying Coverity scan context, but still vague.",Vague symptom description | Lacks specific condition,Coverity scan issues in edk2-stable201903,
7885,https://github.com/tianocore/edk2/issues/7885,package:cryptopkg | priority:low | type:bug,CryptoPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1702),CryptoPkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and symptom but lacks specific condition or module name.,40,Description lacked detailed information about the issues found by Coverity scan.,60,"Improvement over original, but still vague without specific condition or module name.",Vague wording | Lacks concrete symptom,Package: CryptoPkg | Issues from Coverity scan,
7884,https://github.com/tianocore/edk2/issues/7884,package:basetools | priority:low | type:bug,BaseTools: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1701),BaseTools: Multiple Coverity scan issues in edk2-stable201903,85,Meets most criteria but lacks specific symptom and condition details.,45,Description lacked specific module name or concrete symptom details.,70,Improves clarity over original by specifying Coverity scan issues but remains somewhat vague.,"Vague, lacks specific symptom and condition",Automated creation with bugzilla2github tool,
7883,https://github.com/tianocore/edk2/issues/7883,package:armplatformpkg | priority:medium | type:bug,ArmPlatformPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1700),ArmPlatformPkg: Coverity scan reports multiple issues in edk2-stable201903,75,States package and symptom but lacks specific condition or error details.,40,"Description lacked concrete error messages, repro steps, or module names.",60,Improvement over original by specifying package and issue type but still vague.,Vague wording like 'flags multiple issues' | Lacks specific symptom,Package name: ArmPlatformPkg | Issue context from Coverity scan,
7882,https://github.com/tianocore/edk2/issues/7882,package:apppkg | priority:high | type:bug,AppPkg: Coverity scan flags multiple issues in edk2-stable201903 (Bugzilla Bug 1699),AppPkg: Multiple Coverity scan issues in edk2-stable201903,75,States package and mentions issue type but lacks specific symptom or condition.,40,Description does not provide concrete details about the issues found by Coverity scan.,60,"Title is marginally better as it specifies package and issue type, but original was vague too.",Vague wording | Lacks specific symptom or condition,Package name: AppPkg | Issue context from title,
7881,https://github.com/tianocore/edk2/issues/7881,priority:high | package:networkpkg | type:bug,Remove NetworkPkg/IpSecDxe (Bugzilla Bug 1697),NetworkPkg/IpSecDxe: Remove module due to Bugzilla Bug 1697,50,States package/module and action but lacks symptom or condition,20,Description lacked specific details about the issue,30,"Title is marginally better by specifying module name, but original was vague and unclear",Vague wording | Lacks symptom or condition,Package/Module names,
7880,https://github.com/tianocore/edk2/issues/7880,package:basetools | priority:high | type:bug,Nmake may report AutoGen.h file can't be found on Windows OS (Bugzilla Bug 1696),BaseTools: AutoGen.h missing error during nmake build on Windows,85,Meets most criteria but lacks specific module name and exact condition details.,20,"Description lacked specifics about the issue, making inference challenging.",70,Improves clarity over original by specifying package and symptom but lacks exact condition details.,Vague wording | Lack of specific symptoms,BaseTools package name | nmake build context,
7879,https://github.com/tianocore/edk2/issues/7879,priority:medium | package:networkpkg | type:bug,Add PCD to Enabled/Disabled IPv4/IPv6 PXE Support in NetworkPkg (Bugzilla Bug 1695),NetworkPkg: Add PCD for IPv4/IPv6 PXE support,85,Meets most criteria but lacks a concrete symptom or condition.,20,Description lacked specific details about the issue and its impact.,70,"Improves clarity on feature addition, though original was somewhat clear.",Vague symptom description | Lacks condition or trigger,Package name: NetworkPkg | Feature request to add PCD for PXE support,
7878,https://github.com/tianocore/edk2/issues/7878,priority:high | type:bug,Update edksetup.bat to support the different VS tool chain setup (Bugzilla Bug 1693),BaseTools: edksetup.bat build error with different VS toolchain setup,85,Meets most criteria but lacks specific condition details.,20,Description lacked specifics about the issue and conditions.,75,"Improves clarity over original, though exact toolchain version is unknown.",Vague wording | Lacks symptom details,edksetup.bat build error,
7877,https://github.com/tianocore/edk2/issues/7877,package:basetools | priority:medium | type:bug,BaseTools: Hash false success with back to back builds (Bugzilla Bug 1692),BaseTools: Hash false success in consecutive builds,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on the exact symptom or repro steps.,72,"Improves clarity and specificity over original, though some nuance may be lost without condition details.",Vague wording | Lacks specific symptom,Package name: BaseTools,
7876,https://github.com/tianocore/edk2/issues/7876,priority:medium | package:ovmfpkg | type:bug,New OvmfXen platform with Xen PVH support (Bugzilla Bug 1689),OvmfPkg: Xen PVH boot failure on new OvmfXen platform,85,Meets most criteria but lacks specific symptom details.,30,Description lacked concrete error messages or repro steps.,72,Improves clarity and specificity over the original vague title.,"Vague, lacks specific symptom or condition",New OvmfXen platform with Xen PVH support,
7874,https://github.com/tianocore/edk2/issues/7874,priority:medium | package:emulatorpkg | type:bug,Add multiple console with multi monitor support to EmulatorPkg as Nt32Pkg has (Bugzilla Bug 1687),EmulatorPkg: Add multiple console support for multi-monitor,85,Meets most criteria but lacks specific symptom or condition,20,Description lacked details on symptoms and conditions,70,"Improves clarity over original, though exact symptom is still vague",Vague wording | Lacks specific symptom,Package name: EmulatorPkg,
7873,https://github.com/tianocore/edk2/issues/7873,priority:medium | package:emulatorpkg | type:bug,Emulator CPU frequency information displays 0.00 GHZ (Bugzilla Bug 1686),EmulatorPkg: CPU frequency displays as 0.00 GHz,85,"Names package, states symptom but lacks condition and module name",20,Description lacked specific details about the issue or how to reproduce it,70,"Improved by naming package and stating symptom, but original was vague enough to warrant improvement",Vague wording | Lacks concrete symptom,Package name from labels,
9713,https://github.com/tianocore/edk2/issues/9713,priority:high | package:networkpkg | type:bug,HTTP STATUS code design is untenable. (Bugzilla Bug 1685),NetworkPkg: HTTP status code handling fails,85,Meets most criteria but lacks specific condition and exact symptom,20,Description lacked specifics on the issue's trigger or exact nature,70,"Improves clarity over original vague title, but lacks specific details from description",Vague wording | Lacks symptom and condition,Package name NetworkPkg,
7872,https://github.com/tianocore/edk2/issues/7872,package:mdemodulepkg | priority:low | type:bug,Move BaseUefiTianoCustomDecompressLib from IntelFrameworkModulePkg to MdeModulePkg (Bugzilla Bug 1683),MdeModulePkg: Move BaseUefiTianoCustomDecompressLib,70,States package and action but lacks symptom or condition as it's a move request.,20,Description does not provide useful information beyond the original title.,50,Title is improved by naming package but lacks context of why or how it's broken.,"Vague, doesn't state symptom or condition | Too generic",Package name MdeModulePkg,
7870,https://github.com/tianocore/edk2/issues/7870,package:basetools | priority:medium | type:bug,BaseTools: Fix corner-cases of --hash feature (Bugzilla Bug 1680),BaseTools: Incorrect hash generation in corner cases,85,Meets most criteria but lacks specific condition details,40,Description lacked specifics on the exact symptom or conditions,72,"Improves clarity and specificity over original, though some nuance may be lost",Vague wording | Lacks specific symptom,BaseTools package name,
7869,https://github.com/tianocore/edk2/issues/7869,priority:high | package:ueficpupkg | type:bug,CpuCommonFeaturesLib Aesni.c Remove CPU generations check (Bugzilla Bug 1679),CpuCommonFeaturesLib: Remove CPU generation check for AESNI,85,Meets most criteria but lacks specific symptom or condition,20,Description lacked details on symptom and repro steps,70,Improves clarity but does not add concrete symptom from original,"Vague, lacks specific symptom or condition",Package name CpuCommonFeaturesLib | Module name Aesni.c,
